Day,"Average Length"
2022-09-02,7.9254
2022-09-03,8.5250
2022-09-04,8.8049
2022-09-05,8.2391
2022-09-06,8.0652
2022-09-07,8.5962
2022-09-08,7.8788
2022-09-09,7.4474
2022-09-10,8.2051
2022-09-11,7.5652
2022-09-12,8.7000
2022-09-13,8.6316
2022-09-14,8.1395
2022-09-15,8.4091
2022-09-16,8.3065
2022-09-17,8.7414
2022-09-18,7.8511
2022-09-19,8.7231
2022-09-20,7.8630
2022-09-21,8.5128
2022-09-22,7.8596
2022-09-23,8.3929
2022-09-24,7.9531
2022-09-25,8.2903
2022-09-26,8.1053
2022-09-27,9.1579
2022-09-28,7.9623
2022-09-29,8.2273
2022-09-30,9.3256
2022-10-01,7.2895
2022-10-02,8.1429
2022-10-03,8.5385
2022-10-04,8.2333
2022-10-05,8.8966
2022-10-06,8.2500
2022-10-07,8.3043
2022-10-08,8.3429
2022-10-09,8.0725
2022-10-10,8.7581
2022-10-11,9.5833
2022-10-12,8.7073
2022-10-13,8.2941
2022-10-14,8.5075
2022-10-15,8.6027
2022-10-16,8.0500
2022-10-17,8.4186
2022-10-18,8.3684
2022-10-19,8.1628
2022-10-20,8.9318
2022-10-21,8.1136
2022-10-22,8.6170
2022-10-23,7.5435
2022-10-24,8.0000
2022-10-25,8.7179
2022-10-26,8.6389
2022-10-27,8.7333
2022-10-28,7.9767
2022-10-29,8.8889
2022-10-30,8.0800
2022-10-31,8.1571
2022-11-01,8.6232
2022-11-02,8.2500
2022-11-03,7.8200
2022-11-04,8.4194
2022-11-05,9.1452
2022-11-06,8.5556
2022-11-07,8.1186
2022-11-08,7.9333
2022-11-09,8.1351
2022-11-10,8.1389
2022-11-11,8.6364
2022-11-12,8.8889
2022-11-13,8.5600
2022-11-14,7.6279
2022-11-15,8.6939
2022-11-16,8.1017
2022-11-17,8.9726
2022-11-18,8.0145
2022-11-19,8.2833
2022-11-20,8.6000
2022-11-21,9.2093
2022-11-22,8.3171
2022-11-23,8.0000
2022-11-24,8.3906
2022-11-25,8.3115
2022-11-26,8.3704
2022-11-27,8.0588
2022-11-28,6.8913
2022-11-29,8.6571
2022-11-30,8.7097
2022-12-01,8.0000
2022-12-02,7.3667
2022-12-03,9.2000
2022-12-04,8.6444
2022-12-05,8.6364
2022-12-06,7.1786
2022-12-07,8.7077
2022-12-08,8.6719
2022-12-09,8.5672
2022-12-10,8.4762
2022-12-11,8.5306
2022-12-12,7.8276
2022-12-13,8.5926
2022-12-14,9.7857
2022-12-15,8.0625
2022-12-16,8.6889
2022-12-17,7.9189
2022-12-18,8.4400
2022-12-19,8.0500
2022-12-20,7.1429
2022-12-21,9.0000
2022-12-22,7.2105
2022-12-23,7.4000
2022-12-24,9.0000
2022-12-25,8.1373
2022-12-26,7.9375
2022-12-27,9.0370
2022-12-28,8.6429
2022-12-29,8.4590
2022-12-30,8.9091
2022-12-31,8.9318
